ID,"Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.",How comfortable are you with statistics?,How comfortable are you with programming?,Check all that apply: Which of the following are skills you believe you possess?,A4_t,A5_t,A6_t,project_t
233_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",7,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,4,2,10
234_wi20,"data science, GitHub, Jupyter Notebooks, tabular data, machine learning, p-value, sentiment analysis, A|B testing",8,5,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,4,3.5,27
236_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal)",5,5,"Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",10,7,12,20
237_wi20,"data science, GitHub, Python, tabular data, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",8,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python",5,5,5,7
238_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",7,10,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",4,5,4,20
239_wi20,"version control (i.e. git), GitHub, Jupyter Notebooks, p-value",10,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,0.75,30
240_wi20,"data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, geospatial analysis, pandas (the package, not the animal)",8,9,Communicate results concisely and efficiently in reports and presentations,3,5,4,9
242_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",7,5,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,8
243_wi20,"GitHub, Python, Jupyter Notebooks, tabular data, machine learning, p-value, sklearn",7,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",3,3,3,15
245_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",7,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",7,10,7,15
246_wi20,"data science, GitHub, Python, Jupyter Notebooks, machine learning, sentiment analysis, pandas (the package, not the animal)",5,4,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations",6,5,4,55
248_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal)",7,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python",2,2,2,40
249_wi20,"data science, version control (i.e. git), Python, Jupyter Notebooks, JSON, p-value, none of these, pandas (the package, not the animal)",5,8,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",3,4,3,26
251_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal)",10,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,3,2,10
252_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, pandas (the package, not the animal), A|B testing",7,3,"Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2.5,3.5,2,15
254_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal)",5,8,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,4,3,20
255_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",7,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,3,3,15
258_wi20,"data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",9,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",4,4,4,10
259_wi20,"data science, version control (i.e. git), Python, Jupyter Notebooks, machine learning, confounding, p-value, pandas (the package, not the animal)",7,9,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations",4,4,3,15
261_wi20,"GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",8,7,Communicate results concisely and efficiently in reports and presentations,5,7,8,8
262_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, p-value, pandas (the package, not the animal), A|B testing",9,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,3,2,11.5
266_wi20,"data science, GitHub, Python, Jupyter Notebooks, JSON, confounding, p-value, geospatial analysis, pandas (the package, not the animal), sklearn",6,4,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",7,6,7,25
267_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",8,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,4,3,40
268_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, sentiment analysis, pandas (the package, not the animal), A|B testing",4,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,4,4,30
269_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",7,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",1.5,1.5,1.5,12
271_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, p-hacking, pandas (the package, not the animal), sklearn, A|B testing",10,10,"Formulate a plan for and complete a data science project from start to finish, Identify and explain how to approach an unfamiliar data science task",3,3,3,10
272_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, confounding, p-value, sentiment analysis, pandas (the package, not the animal)",7,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,3,26
274_wi20,"Python, confounding, p-value",6,3,Communicate results concisely and efficiently in reports and presentations,6,6,0,10
275_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",9,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,4,12
276_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",7,6,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,5,5,12
277_wi20,"data science, GitHub, Python, Jupyter Notebooks, machine learning, p-value, pandas (the package, not the animal)",6,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",8,8,8,20
278_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",6,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,4,15
279_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",7,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,15
280_wi20,"confounding, p-value, pandas (the package, not the animal)",8,5,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",8,10,11,30
282_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, confounding, p-value, pandas (the package, not the animal), A|B testing",9,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,4,3,10
283_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, confounding, pandas (the package, not the animal)",7,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",1,2,2,10
284_wi20,"data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn, A|B testing",7,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task, None of thse",3,2,2,20
285_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, p-value, pandas (the package, not the animal)",8,9,"Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,10
286_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",8,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",5,5,5,18
287_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",8,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,2,1,20
289_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",6,10,Communicate results concisely and efficiently in reports and presentations,4,3,3,40
290_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",8,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,18
291_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",4,3,Communicate results concisely and efficiently in reports and presentations,9,8,5,20
293_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, sentiment analysis, pandas (the package, not the animal)",8,10,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python",4,4,4,10
295_wi20,"Python, Jupyter Notebooks, machine learning, p-value, sentiment analysis, pandas (the package, not the animal)",5,2,"Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",10,15,5,20
296_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal), A|B testing",7,10,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations",4,6,5,35
297_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal)",6,7,"Formulate a plan for and complete a data science project from start to finish, Identify and explain how to approach an unfamiliar data science task",5,6,4,12
298_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, sentiment analysis, pandas (the package, not the animal)",6,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,14
299_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, sentiment analysis, pandas (the package, not the animal), sklearn",5,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1,1,1,20
300_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, tetral analysis, A|B testing",10,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",0.5,1,0.5,20
301_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, p-value",8,10,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations",5,4,6,4
303_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, sentiment analysis, pandas (the package, not the animal), A|B testing",4,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",3,4,3,20
305_wi20,"data science, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal)",7,9,Identify and explain how to approach an unfamiliar data science task,7,6,10,15
306_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal)",7,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",6,8,4,30
308_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, geospatial analysis, pandas (the package, not the animal), sklearn",7,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",1.5,1.5,1,20
309_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",6,9,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,8
310_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, confounding, p-value, pandas (the package, not the animal)",7,4,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,4,3,12
312_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",10,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1,1,1,20
315_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal)",5,9,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",6,6,4,36
316_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",8,8,"Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,20
317_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, pandas (the package, not the animal), sklearn, A|B testing",7,5,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,4,4,15
318_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, p-value, pandas (the package, not the animal), A|B testing",8,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",3,3,4,5
319_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",9,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",2,2,2,10
320_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",8,8,"Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,4,3,30
321_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal), A|B testing",7,4,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",7,6,6,10
322_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal)",3,9,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,2,2,25
322_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, geospatial analysis, pandas (the package, not the animal)",3,10,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,2,2,15
323_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal), sklearn",8,8,Formulate a plan for and complete a data science project from start to finish,3,3,2,20
325_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, sentiment analysis, pandas (the package, not the animal)",6,10,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations",10,7,8,40
325_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, sentiment analysis, pandas (the package, not the animal)",6,10,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations",10,7,8,40
326_wi20,"data science, GitHub, Python, Jupyter Notebooks, confounding, p-value, pandas (the package, not the animal)",8,7,"Formulate a plan for and complete a data science project from start to finish, Identify and explain how to approach an unfamiliar data science task",6,8,6,12
327_wi20,"data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal)",5,7,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,2,2,15
328_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, p-hacking, pandas (the package, not the animal), sklearn, A|B testing",7,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",6.5,5,5,30
329_wi20,"data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",7,8,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,3,30
330_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, p-value, pandas (the package, not the animal), sklearn",7,7,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",3,2,2,20
331_wi20,"data science, version control (i.e. git), Python, Jupyter Notebooks, machine learning, confounding, p-value, pandas (the package, not the animal)",6,8,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations",5,4,5,7
331_wi20,"version control (i.e. git), Python, Jupyter Notebooks, p-value, sentiment analysis, geospatial analysis",7,8,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,3,4,6
332_wi20,"data science, version control (i.e. git), Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",8,9,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,4,2,7.5
333_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",7,6,"Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,4,4,20
334_wi20,"Python, Jupyter Notebooks, p-hacking, sentiment analysis, pandas (the package, not the animal)",7,7,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",6,11,5,22
338_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",8,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1,1,1,5
341_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",7,8,"Formulate a plan for and complete a data science project from start to finish, Identify and explain how to approach an unfamiliar data science task",6,7,6,7
342_wi20,"data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal)",8,9,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,4,6.5,22
344_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",7,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1,1,1,20
345_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, confounding, p-value, pandas (the package, not the animal), sklearn",7,7,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",6,6,4,20
346_wi20,"GitHub, Python, Jupyter Notebooks, confounding, p-value",6,7,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",4,5,4,20
347_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, tetral analysis, A|B testing",8,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1.5,1.5,2,15
349_wi20,"data science, Python, Jupyter Notebooks, JSON, machine learning, confounding, sentiment analysis, pandas (the package, not the animal)",7,10,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",7,4,4,18
350_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, confounding, p-value, geospatial analysis, pandas (the package, not the animal)",5,5,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",6,6,4,15
351_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",5,5,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",8,8,8,5
352_wi20,"Python, Jupyter Notebooks, JSON, sentiment analysis, pandas (the package, not the animal)",7,8,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,6,2.5,20
